CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
10.20%,216MiB / 1.941GiB,10.87%,1.08MB / 1.84MB,382MB / 16.4kB,47
1.20%,216.2MiB / 1.941GiB,10.88%,1.08MB / 1.86MB,382MB / 16.4kB,47
8.07%,216.1MiB / 1.941GiB,10.87%,1.09MB / 1.86MB,382MB / 16.4kB,47
13.58%,217.9MiB / 1.941GiB,10.97%,1.09MB / 1.87MB,384MB / 16.4kB,47
2.29%,218MiB / 1.941GiB,10.97%,1.1MB / 1.89MB,384MB / 16.4kB,47
9.48%,218MiB / 1.941GiB,10.97%,1.11MB / 1.89MB,384MB / 16.4kB,47
3.66%,217.8MiB / 1.941GiB,10.96%,1.11MB / 1.9MB,384MB / 16.4kB,47
10.54%,217.8MiB / 1.941GiB,10.96%,1.12MB / 1.91MB,384MB / 16.4kB,47
2.30%,217.2MiB / 1.941GiB,10.93%,1.12MB / 1.92MB,384MB / 16.4kB,47
8.08%,217.3MiB / 1.941GiB,10.93%,1.13MB / 1.94MB,384MB / 16.4kB,47
3.09%,217.4MiB / 1.941GiB,10.94%,1.14MB / 1.95MB,384MB / 16.4kB,47
2.41%,217.2MiB / 1.941GiB,10.93%,1.14MB / 1.96MB,384MB / 16.4kB,47
1.21%,217.2MiB / 1.941GiB,10.93%,1.15MB / 1.97MB,384MB / 16.4kB,47
0.67%,217.2MiB / 1.941GiB,10.93%,1.15MB / 1.98MB,384MB / 16.4kB,47
2.56%,217.1MiB / 1.941GiB,10.93%,1.16MB / 1.99MB,384MB / 16.4kB,47
1.47%,217.1MiB / 1.941GiB,10.93%,1.17MB / 2MB,384MB / 16.4kB,47
3.98%,217.2MiB / 1.941GiB,10.93%,1.17MB / 2.01MB,384MB / 16.4kB,47
5.86%,217.3MiB / 1.941GiB,10.93%,1.18MB / 2.02MB,384MB / 16.4kB,47
0.95%,217.3MiB / 1.941GiB,10.93%,1.18MB / 2.03MB,384MB / 16.4kB,47
1.60%,217MiB / 1.941GiB,10.92%,1.19MB / 2.04MB,384MB / 16.4kB,47
0.89%,217MiB / 1.941GiB,10.92%,1.2MB / 2.05MB,384MB / 16.4kB,47
0.87%,216.5MiB / 1.941GiB,10.90%,1.2MB / 2.06MB,384MB / 16.4kB,47
0.74%,216.5MiB / 1.941GiB,10.90%,1.21MB / 2.07MB,384MB / 16.4kB,47
2.09%,216.5MiB / 1.941GiB,10.90%,1.22MB / 2.09MB,384MB / 16.4kB,47
0.97%,216.5MiB / 1.941GiB,10.90%,1.22MB / 2.09MB,384MB / 16.4kB,47
0.55%,216.5MiB / 1.941GiB,10.90%,1.23MB / 2.1MB,384MB / 16.4kB,47
1.96%,216.5MiB / 1.941GiB,10.90%,1.24MB / 2.12MB,384MB / 16.4kB,47
0.77%,216.5MiB / 1.941GiB,10.90%,1.24MB / 2.12MB,384MB / 16.4kB,47
56.87%,216.6MiB / 1.941GiB,10.90%,1.24MB / 2.13MB,385MB / 16.4kB,47
2.63%,216.6MiB / 1.941GiB,10.90%,1.25MB / 2.15MB,385MB / 16.4kB,47
1.22%,216.6MiB / 1.941GiB,10.90%,1.26MB / 2.16MB,385MB / 16.4kB,47
3.55%,216.6MiB / 1.941GiB,10.90%,1.26MB / 2.17MB,385MB / 16.4kB,47
2.42%,216.4MiB / 1.941GiB,10.89%,1.27MB / 2.18MB,385MB / 16.4kB,47
1.95%,216.4MiB / 1.941GiB,10.89%,1.28MB / 2.19MB,385MB / 16.4kB,47
1.65%,216.4MiB / 1.941GiB,10.89%,1.28MB / 2.2MB,385MB / 16.4kB,47
1.79%,216.4MiB / 1.941GiB,10.89%,1.29MB / 2.22MB,385MB / 16.4kB,47
0.98%,216.4MiB / 1.941GiB,10.89%,1.29MB / 2.22MB,385MB / 16.4kB,47
1.14%,216.4MiB / 1.941GiB,10.89%,1.3MB / 2.23MB,385MB / 16.4kB,47
1.72%,216.4MiB / 1.941GiB,10.89%,1.31MB / 2.24MB,385MB / 16.4kB,47
0.85%,216.4MiB / 1.941GiB,10.89%,1.31MB / 2.25MB,385MB / 16.4kB,47
3.78%,216.5MiB / 1.941GiB,10.89%,1.32MB / 2.27MB,385MB / 16.4kB,47
1.43%,216.5MiB / 1.941GiB,10.89%,1.33MB / 2.28MB,385MB / 16.4kB,47
1.34%,216.5MiB / 1.941GiB,10.89%,1.33MB / 2.29MB,385MB / 16.4kB,47
2.84%,216.3MiB / 1.941GiB,10.88%,1.34MB / 2.3MB,385MB / 16.4kB,47
0.81%,216.3MiB / 1.941GiB,10.88%,1.34MB / 2.31MB,385MB / 16.4kB,47
1.33%,216.2MiB / 1.941GiB,10.88%,1.35MB / 2.32MB,385MB / 16.4kB,47
3.60%,216.2MiB / 1.941GiB,10.88%,1.36MB / 2.33MB,385MB / 16.4kB,47
2.67%,216.2MiB / 1.941GiB,10.88%,1.37MB / 2.35MB,385MB / 16.4kB,47
1.21%,216.2MiB / 1.941GiB,10.88%,1.37MB / 2.35MB,385MB / 16.4kB,47
1.67%,216.2MiB / 1.941GiB,10.88%,1.38MB / 2.37MB,385MB / 16.4kB,47
1.74%,216.2MiB / 1.941GiB,10.88%,1.38MB / 2.37MB,385MB / 16.4kB,47
1.39%,216.2MiB / 1.941GiB,10.88%,1.39MB / 2.38MB,385MB / 16.4kB,47
2.02%,216.2MiB / 1.941GiB,10.88%,1.39MB / 2.39MB,385MB / 16.4kB,47
1.40%,216.2MiB / 1.941GiB,10.88%,1.4MB / 2.4MB,385MB / 16.4kB,47
1.90%,216.2MiB / 1.941GiB,10.88%,1.41MB / 2.42MB,385MB / 16.4kB,47
2.37%,216.2MiB / 1.941GiB,10.88%,1.41MB / 2.43MB,385MB / 16.4kB,47
1.16%,216.2MiB / 1.941GiB,10.88%,1.42MB / 2.44MB,385MB / 16.4kB,47
1.30%,216.1MiB / 1.941GiB,10.88%,1.43MB / 2.45MB,385MB / 16.4kB,47
1.45%,216.1MiB / 1.941GiB,10.88%,1.43MB / 2.46MB,385MB / 16.4kB,47
1.62%,216.1MiB / 1.941GiB,10.88%,1.44MB / 2.47MB,385MB / 16.4kB,47
1.88%,216.2MiB / 1.941GiB,10.88%,1.44MB / 2.48MB,385MB / 16.4kB,47
1.63%,216.4MiB / 1.941GiB,10.89%,1.45MB / 2.49MB,385MB / 16.4kB,47
1.22%,216.5MiB / 1.941GiB,10.90%,1.46MB / 2.5MB,385MB / 16.4kB,47
2.17%,216.8MiB / 1.941GiB,10.91%,1.46MB / 2.51MB,385MB / 16.4kB,47
2.30%,217MiB / 1.941GiB,10.92%,1.47MB / 2.53MB,386MB / 16.4kB,47
1.33%,217.2MiB / 1.941GiB,10.93%,1.48MB / 2.54MB,386MB / 16.4kB,47
1.69%,217.4MiB / 1.941GiB,10.94%,1.48MB / 2.54MB,386MB / 16.4kB,47
3.35%,217.7MiB / 1.941GiB,10.96%,1.49MB / 2.56MB,386MB / 16.4kB,47
1.38%,217.9MiB / 1.941GiB,10.96%,1.49MB / 2.56MB,387MB / 16.4kB,47
2.00%,217.9MiB / 1.941GiB,10.96%,1.5MB / 2.57MB,387MB / 16.4kB,47
1.80%,218MiB / 1.941GiB,10.97%,1.5MB / 2.59MB,387MB / 16.4kB,47
3.38%,218.1MiB / 1.941GiB,10.97%,1.51MB / 2.6MB,387MB / 16.4kB,47
5.38%,218.1MiB / 1.941GiB,10.98%,1.52MB / 2.61MB,387MB / 16.4kB,47
