CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
219.84%,236.6MiB / 1.941GiB,11.91%,7.33kB / 4.94kB,67.9MB / 0B,38
315.18%,261.1MiB / 1.941GiB,13.14%,17kB / 15.5kB,82.4MB / 0B,51
64.99%,259.8MiB / 1.941GiB,13.07%,99kB / 78.8kB,84.4MB / 0B,51
50.30%,261.4MiB / 1.941GiB,13.15%,119kB / 129kB,84.4MB / 0B,51
28.65%,262.5MiB / 1.941GiB,13.21%,133kB / 179kB,84.5MB / 0B,51
25.23%,263.3MiB / 1.941GiB,13.25%,151kB / 237kB,84.5MB / 0B,51
56.66%,264.3MiB / 1.941GiB,13.30%,174kB / 315kB,84.5MB / 0B,51
46.48%,265.7MiB / 1.941GiB,13.37%,189kB / 404kB,84.8MB / 0B,51
59.75%,267.5MiB / 1.941GiB,13.46%,210kB / 484kB,85MB / 0B,51
18.72%,268.4MiB / 1.941GiB,13.50%,225kB / 550kB,85MB / 0B,52
26.33%,269.2MiB / 1.941GiB,13.55%,246kB / 667kB,85MB / 0B,52
54.67%,269.7MiB / 1.941GiB,13.57%,268kB / 771kB,85MB / 0B,52
11.40%,269.7MiB / 1.941GiB,13.57%,281kB / 861kB,85MB / 0B,52
18.09%,269.9MiB / 1.941GiB,13.58%,304kB / 1.01MB,85MB / 0B,52
38.10%,269.9MiB / 1.941GiB,13.58%,326kB / 1.12MB,85MB / 0B,52
19.19%,269.6MiB / 1.941GiB,13.56%,344kB / 1.28MB,85MB / 0B,52
39.38%,269.6MiB / 1.941GiB,13.57%,363kB / 1.44MB,85MB / 0B,52
20.17%,269.8MiB / 1.941GiB,13.58%,383kB / 1.59MB,85MB / 0B,52
6.81%,269.1MiB / 1.941GiB,13.54%,398kB / 1.74MB,85MB / 0B,52
34.87%,270.5MiB / 1.941GiB,13.61%,423kB / 1.9MB,85MB / 0B,52
38.15%,270.6MiB / 1.941GiB,13.62%,444kB / 2.09MB,85MB / 0B,52
20.50%,269.5MiB / 1.941GiB,13.56%,461kB / 2.27MB,85MB / 0B,52
13.00%,269.7MiB / 1.941GiB,13.57%,480kB / 2.43MB,85MB / 0B,52
28.14%,270.1MiB / 1.941GiB,13.59%,500kB / 2.68MB,85MB / 0B,52
19.41%,270.4MiB / 1.941GiB,13.61%,518kB / 2.9MB,85MB / 0B,52
7.13%,270.6MiB / 1.941GiB,13.62%,537kB / 3.01MB,85MB / 0B,52
12.68%,270.7MiB / 1.941GiB,13.62%,560kB / 3.33MB,85MB / 0B,52
45.70%,271MiB / 1.941GiB,13.64%,584kB / 3.51MB,85MB / 0B,52
