CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
14.06%,276.7MiB / 1.941GiB,13.92%,1.03MB / 10.3MB,85.1MB / 0B,52
10.76%,276.7MiB / 1.941GiB,13.92%,1.05MB / 10.8MB,85.1MB / 0B,52
21.12%,277.2MiB / 1.941GiB,13.95%,1.08MB / 11.1MB,85.1MB / 0B,52
13.32%,276.3MiB / 1.941GiB,13.90%,1.1MB / 11.7MB,85.1MB / 0B,52
29.74%,270.7MiB / 1.941GiB,13.62%,1.12MB / 12MB,85.1MB / 0B,52
4.22%,270.8MiB / 1.941GiB,13.63%,1.14MB / 12.4MB,85.1MB / 0B,52
17.34%,271.1MiB / 1.941GiB,13.64%,1.16MB / 13.1MB,85.1MB / 0B,52
51.26%,271.5MiB / 1.941GiB,13.66%,1.19MB / 13.4MB,85.1MB / 0B,52
6.21%,273.3MiB / 1.941GiB,13.75%,1.2MB / 13.7MB,85.2MB / 0B,52
7.90%,273.3MiB / 1.941GiB,13.75%,1.23MB / 14.3MB,85.2MB / 0B,52
10.74%,273.4MiB / 1.941GiB,13.76%,1.25MB / 14.7MB,85.2MB / 0B,52
33.04%,273.6MiB / 1.941GiB,13.77%,1.27MB / 15.2MB,85.2MB / 0B,52
41.73%,273.9MiB / 1.941GiB,13.78%,1.3MB / 15.7MB,85.2MB / 0B,52
5.95%,273.9MiB / 1.941GiB,13.78%,1.31MB / 16.2MB,85.2MB / 0B,52
30.66%,274.5MiB / 1.941GiB,13.81%,1.34MB / 16.7MB,85.2MB / 0B,52
12.61%,274.3MiB / 1.941GiB,13.80%,1.36MB / 17.3MB,85.2MB / 0B,52
8.39%,274.4MiB / 1.941GiB,13.81%,1.38MB / 17.7MB,85.2MB / 0B,52
72.09%,274.5MiB / 1.941GiB,13.81%,1.41MB / 18.2MB,85.2MB / 0B,52
15.18%,285.5MiB / 1.941GiB,14.36%,1.42MB / 18.7MB,85.2MB / 0B,52
10.34%,274.4MiB / 1.941GiB,13.81%,1.45MB / 19.2MB,85.2MB / 0B,52
46.31%,274.5MiB / 1.941GiB,13.81%,1.48MB / 20MB,85.2MB / 0B,52
6.46%,274.5MiB / 1.941GiB,13.81%,1.49MB / 20.5MB,85.2MB / 0B,52
15.70%,275.6MiB / 1.941GiB,13.87%,1.52MB / 20.9MB,85.2MB / 0B,52
26.11%,276MiB / 1.941GiB,13.89%,1.54MB / 21.7MB,85.2MB / 0B,52
8.26%,276MiB / 1.941GiB,13.89%,1.56MB / 22.1MB,85.2MB / 0B,52
59.18%,276.2MiB / 1.941GiB,13.90%,1.59MB / 22.7MB,85.2MB / 0B,52
14.26%,276.2MiB / 1.941GiB,13.90%,1.61MB / 23.2MB,85.2MB / 0B,52
19.13%,276.1MiB / 1.941GiB,13.90%,1.63MB / 23.8MB,85.2MB / 0B,52
12.75%,276.3MiB / 1.941GiB,13.90%,1.65MB / 24.4MB,85.2MB / 0B,52
21.14%,276.3MiB / 1.941GiB,13.90%,1.68MB / 25.2MB,85.2MB / 0B,52
26.20%,276.3MiB / 1.941GiB,13.90%,1.69MB / 25.6MB,85.2MB / 0B,52
10.59%,276.4MiB / 1.941GiB,13.91%,1.72MB / 26.2MB,85.2MB / 0B,52
37.59%,286MiB / 1.941GiB,14.39%,1.74MB / 26.9MB,85.2MB / 0B,52
13.41%,289.8MiB / 1.941GiB,14.58%,1.77MB / 27.5MB,85.2MB / 0B,52
0.65%,284.2MiB / 1.941GiB,14.30%,1.78MB / 27.8MB,85.2MB / 0B,52
0.46%,284.2MiB / 1.941GiB,14.30%,1.78MB / 27.8MB,85.2MB / 0B,52
0.41%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.61%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.41%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.76%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.62%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.63%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.51%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.52%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
0.68%,275MiB / 1.941GiB,13.84%,1.78MB / 27.8MB,85.2MB / 0B,52
