CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
6.07%,190MiB / 1.941GiB,9.56%,11.4MB / 5.07MB,43.7MB / 16.4kB,44
15.57%,190MiB / 1.941GiB,9.56%,11.7MB / 5.23MB,43.8MB / 16.4kB,44
4.17%,190.1MiB / 1.941GiB,9.56%,12.1MB / 5.38MB,43.8MB / 16.4kB,44
7.45%,190.3MiB / 1.941GiB,9.57%,12.5MB / 5.57MB,44MB / 16.4kB,44
2.43%,190.3MiB / 1.941GiB,9.58%,12.8MB / 5.7MB,44MB / 16.4kB,44
6.05%,190.4MiB / 1.941GiB,9.58%,13.3MB / 5.88MB,44MB / 16.4kB,44
34.09%,208.6MiB / 1.941GiB,10.50%,13.8MB / 6.1MB,47.8MB / 16.4kB,44
3.58%,206.8MiB / 1.941GiB,10.41%,14MB / 6.21MB,47.9MB / 16.4kB,44
54.35%,208.9MiB / 1.941GiB,10.51%,14.5MB / 6.41MB,59.5MB / 16.4kB,44
32.36%,207.1MiB / 1.941GiB,10.42%,15.1MB / 6.69MB,68.2MB / 16.4kB,44
12.56%,201.4MiB / 1.941GiB,10.13%,15.3MB / 6.78MB,73.6MB / 16.4kB,44
27.71%,200.9MiB / 1.941GiB,10.11%,15.9MB / 7.05MB,81.7MB / 16.4kB,44
7.65%,199.4MiB / 1.941GiB,10.04%,16.5MB / 7.29MB,83MB / 16.4kB,44
0.47%,199.7MiB / 1.941GiB,10.05%,16.6MB / 7.35MB,83.2MB / 16.4kB,44
10.84%,200.4MiB / 1.941GiB,10.08%,17.4MB / 7.65MB,86.1MB / 16.4kB,44
4.34%,200MiB / 1.941GiB,10.06%,17.8MB / 7.83MB,87.6MB / 16.4kB,44
7.25%,200.2MiB / 1.941GiB,10.08%,18.2MB / 8.02MB,87.9MB / 16.4kB,44
11.46%,200.4MiB / 1.941GiB,10.09%,18.9MB / 8.33MB,88.1MB / 16.4kB,44
11.60%,200.6MiB / 1.941GiB,10.10%,19.2MB / 8.46MB,88.5MB / 16.4kB,44
21.30%,201.4MiB / 1.941GiB,10.13%,20.1MB / 8.84MB,90.4MB / 16.4kB,44
10.65%,201.3MiB / 1.941GiB,10.13%,20.7MB / 9.1MB,93.5MB / 16.4kB,44
2.11%,200.8MiB / 1.941GiB,10.11%,20.9MB / 9.21MB,94.1MB / 16.4kB,44
3.83%,201.6MiB / 1.941GiB,10.14%,21.7MB / 9.54MB,96.1MB / 16.4kB,44
12.97%,201.5MiB / 1.941GiB,10.14%,22.2MB / 9.75MB,97.6MB / 16.4kB,44
6.28%,200.8MiB / 1.941GiB,10.10%,22.7MB / 9.96MB,98.6MB / 16.4kB,44
9.89%,201.1MiB / 1.941GiB,10.12%,23.4MB / 10.3MB,100MB / 16.4kB,44
11.14%,200.5MiB / 1.941GiB,10.09%,23.8MB / 10.4MB,100MB / 16.4kB,44
20.90%,202.1MiB / 1.941GiB,10.17%,24.5MB / 10.8MB,102MB / 16.4kB,44
19.20%,201.1MiB / 1.941GiB,10.12%,25.4MB / 11.1MB,103MB / 16.4kB,44
2.14%,201.1MiB / 1.941GiB,10.12%,25.7MB / 11.2MB,104MB / 16.4kB,44
12.10%,202.5MiB / 1.941GiB,10.19%,26.5MB / 11.6MB,106MB / 16.4kB,44
4.89%,200.7MiB / 1.941GiB,10.10%,27.1MB / 11.8MB,106MB / 16.4kB,44
8.25%,201.2MiB / 1.941GiB,10.12%,27.6MB / 12.1MB,108MB / 16.4kB,44
14.57%,200.6MiB / 1.941GiB,10.10%,28.3MB / 12.4MB,109MB / 16.4kB,44
4.95%,200.8MiB / 1.941GiB,10.11%,28.9MB / 12.6MB,113MB / 16.4kB,44
2.22%,200.9MiB / 1.941GiB,10.11%,29.3MB / 12.8MB,113MB / 16.4kB,44
9.54%,199.6MiB / 1.941GiB,10.04%,30.2MB / 13.2MB,119MB / 16.4kB,44
7.95%,201.2MiB / 1.941GiB,10.13%,31.2MB / 13.6MB,126MB / 16.4kB,44
4.65%,200.7MiB / 1.941GiB,10.10%,31.5MB / 13.8MB,127MB / 16.4kB,44
7.69%,201.1MiB / 1.941GiB,10.12%,32.5MB / 14.2MB,129MB / 16.4kB,44
2.40%,203.1MiB / 1.941GiB,10.22%,33MB / 14.4MB,133MB / 16.4kB,44
4.53%,200.4MiB / 1.941GiB,10.08%,33.6MB / 14.6MB,134MB / 16.4kB,44
