CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
7.24%,198.7MiB / 1.941GiB,10.00%,104kB / 157kB,122MB / 49.2kB,51
0.97%,198.9MiB / 1.941GiB,10.01%,105kB / 160kB,122MB / 49.2kB,51
1.32%,199MiB / 1.941GiB,10.01%,107kB / 164kB,122MB / 49.2kB,51
0.50%,198.9MiB / 1.941GiB,10.01%,107kB / 164kB,122MB / 49.2kB,51
0.83%,199MiB / 1.941GiB,10.01%,108kB / 166kB,122MB / 49.2kB,51
3.37%,199.2MiB / 1.941GiB,10.02%,111kB / 171kB,123MB / 49.2kB,51
0.55%,199.2MiB / 1.941GiB,10.02%,111kB / 171kB,123MB / 49.2kB,51
0.63%,199.3MiB / 1.941GiB,10.03%,111kB / 171kB,123MB / 49.2kB,51
5.18%,199.3MiB / 1.941GiB,10.03%,112kB / 172kB,123MB / 49.2kB,51
2.11%,199.4MiB / 1.941GiB,10.03%,113kB / 176kB,123MB / 49.2kB,51
1.90%,199.5MiB / 1.941GiB,10.04%,116kB / 181kB,123MB / 49.2kB,51
0.43%,199.4MiB / 1.941GiB,10.03%,116kB / 181kB,123MB / 49.2kB,51
0.86%,199.5MiB / 1.941GiB,10.04%,118kB / 184kB,123MB / 49.2kB,51
3.26%,199.8MiB / 1.941GiB,10.05%,120kB / 188kB,124MB / 49.2kB,51
2.34%,199.9MiB / 1.941GiB,10.06%,120kB / 190kB,124MB / 49.2kB,51
0.62%,199.7MiB / 1.941GiB,10.05%,120kB / 190kB,124MB / 49.2kB,51
0.74%,199.9MiB / 1.941GiB,10.06%,122kB / 193kB,124MB / 49.2kB,51
1.47%,200MiB / 1.941GiB,10.06%,123kB / 195kB,124MB / 49.2kB,51
2.52%,200.3MiB / 1.941GiB,10.08%,127kB / 202kB,124MB / 49.2kB,51
3.80%,200.2MiB / 1.941GiB,10.07%,128kB / 203kB,124MB / 49.2kB,51
0.70%,200.2MiB / 1.941GiB,10.07%,128kB / 203kB,124MB / 49.2kB,51
0.62%,198.9MiB / 1.941GiB,10.01%,128kB / 205kB,125MB / 49.2kB,51
16.53%,198.9MiB / 1.941GiB,10.01%,135kB / 219kB,125MB / 49.2kB,51
0.55%,198.9MiB / 1.941GiB,10.01%,136kB / 219kB,125MB / 49.2kB,51
0.55%,198.9MiB / 1.941GiB,10.01%,136kB / 219kB,125MB / 49.2kB,51
0.44%,199MiB / 1.941GiB,10.01%,136kB / 219kB,125MB / 49.2kB,51
3.89%,199.2MiB / 1.941GiB,10.02%,137kB / 222kB,125MB / 49.2kB,51
1.27%,199.1MiB / 1.941GiB,10.02%,137kB / 222kB,125MB / 49.2kB,51
0.47%,199.2MiB / 1.941GiB,10.02%,137kB / 222kB,125MB / 49.2kB,51
0.52%,199.1MiB / 1.941GiB,10.02%,137kB / 222kB,125MB / 49.2kB,51
3.77%,199.2MiB / 1.941GiB,10.02%,139kB / 225kB,125MB / 49.2kB,51
0.63%,197.8MiB / 1.941GiB,9.95%,139kB / 225kB,125MB / 49.2kB,51
7.70%,197.6MiB / 1.941GiB,9.95%,141kB / 229kB,125MB / 49.2kB,51
0.51%,197.7MiB / 1.941GiB,9.95%,141kB / 229kB,125MB / 49.2kB,51
5.46%,197.5MiB / 1.941GiB,9.94%,144kB / 234kB,125MB / 49.2kB,51
0.92%,197.3MiB / 1.941GiB,9.93%,146kB / 239kB,125MB / 49.2kB,51
1.10%,197.4MiB / 1.941GiB,9.93%,148kB / 243kB,126MB / 49.2kB,51
0.76%,197.4MiB / 1.941GiB,9.93%,150kB / 246kB,126MB / 49.2kB,51
0.52%,197.4MiB / 1.941GiB,9.94%,150kB / 246kB,126MB / 49.2kB,51
3.38%,197.3MiB / 1.941GiB,9.93%,152kB / 251kB,126MB / 49.2kB,51
0.73%,197.2MiB / 1.941GiB,9.93%,152kB / 251kB,126MB / 49.2kB,51
6.04%,196.8MiB / 1.941GiB,9.90%,155kB / 256kB,126MB / 49.2kB,51
0.44%,196.7MiB / 1.941GiB,9.90%,155kB / 256kB,126MB / 49.2kB,51
1.37%,196.7MiB / 1.941GiB,9.90%,156kB / 258kB,126MB / 49.2kB,51
0.71%,196.3MiB / 1.941GiB,9.88%,157kB / 260kB,126MB / 49.2kB,51
5.15%,196.4MiB / 1.941GiB,9.88%,160kB / 267kB,126MB / 49.2kB,51
0.59%,196.4MiB / 1.941GiB,9.88%,160kB / 267kB,126MB / 49.2kB,51
0.50%,196.4MiB / 1.941GiB,9.88%,160kB / 267kB,126MB / 49.2kB,51
2.37%,196.4MiB / 1.941GiB,9.88%,163kB / 272kB,126MB / 49.2kB,51
0.66%,196.2MiB / 1.941GiB,9.87%,163kB / 272kB,126MB / 49.2kB,51
3.00%,196.3MiB / 1.941GiB,9.88%,165kB / 277kB,126MB / 49.2kB,51
4.31%,196.3MiB / 1.941GiB,9.88%,167kB / 280kB,126MB / 49.2kB,51
0.76%,196.3MiB / 1.941GiB,9.88%,169kB / 284kB,126MB / 49.2kB,51
0.76%,196.3MiB / 1.941GiB,9.88%,170kB / 285kB,126MB / 49.2kB,51
0.54%,196.1MiB / 1.941GiB,9.87%,170kB / 285kB,126MB / 49.2kB,51
3.43%,196MiB / 1.941GiB,9.86%,171kB / 287kB,127MB / 49.2kB,51
0.59%,196.1MiB / 1.941GiB,9.87%,173kB / 291kB,129MB / 49.2kB,51
6.06%,196MiB / 1.941GiB,9.86%,177kB / 298kB,131MB / 49.2kB,51
0.59%,196MiB / 1.941GiB,9.86%,178kB / 301kB,132MB / 49.2kB,51
0.62%,196.4MiB / 1.941GiB,9.88%,179kB / 303kB,134MB / 49.2kB,51
0.74%,196.4MiB / 1.941GiB,9.88%,180kB / 305kB,135MB / 49.2kB,51
0.58%,196.6MiB / 1.941GiB,9.89%,180kB / 305kB,135MB / 49.2kB,51
0.55%,196.3MiB / 1.941GiB,9.88%,180kB / 305kB,135MB / 49.2kB,51
0.44%,196.4MiB / 1.941GiB,9.88%,180kB / 305kB,135MB / 49.2kB,51
0.38%,196.3MiB / 1.941GiB,9.88%,180kB / 305kB,135MB / 49.2kB,51
1.10%,196.7MiB / 1.941GiB,9.90%,182kB / 308kB,135MB / 49.2kB,51
2.20%,196.7MiB / 1.941GiB,9.90%,185kB / 312kB,136MB / 49.2kB,51
5.49%,196.7MiB / 1.941GiB,9.90%,189kB / 322kB,137MB / 49.2kB,51
2.66%,196.4MiB / 1.941GiB,9.88%,191kB / 325kB,137MB / 49.2kB,51
0.59%,196MiB / 1.941GiB,9.86%,191kB / 325kB,137MB / 49.2kB,51
2.75%,196MiB / 1.941GiB,9.86%,192kB / 327kB,137MB / 49.2kB,51
0.44%,196.1MiB / 1.941GiB,9.87%,194kB / 331kB,138MB / 49.2kB,51
0.49%,196MiB / 1.941GiB,9.86%,194kB / 331kB,138MB / 49.2kB,51
0.81%,195.9MiB / 1.941GiB,9.86%,194kB / 332kB,138MB / 49.2kB,51
3.10%,196.9MiB / 1.941GiB,9.91%,199kB / 341kB,141MB / 49.2kB,51
0.54%,196.6MiB / 1.941GiB,9.89%,199kB / 341kB,141MB / 49.2kB,51
0.53%,196.6MiB / 1.941GiB,9.89%,199kB / 341kB,141MB / 49.2kB,51
2.03%,196.7MiB / 1.941GiB,9.90%,201kB / 344kB,143MB / 49.2kB,51
0.78%,196.6MiB / 1.941GiB,9.89%,201kB / 344kB,143MB / 49.2kB,51
2.76%,197MiB / 1.941GiB,9.91%,202kB / 348kB,144MB / 49.2kB,51
0.65%,196.6MiB / 1.941GiB,9.89%,202kB / 348kB,144MB / 49.2kB,51
5.76%,197MiB / 1.941GiB,9.91%,204kB / 351kB,146MB / 49.2kB,51
0.80%,196.5MiB / 1.941GiB,9.89%,204kB / 351kB,146MB / 49.2kB,51
0.77%,196.5MiB / 1.941GiB,9.89%,206kB / 355kB,146MB / 49.2kB,51
26.46%,201.2MiB / 1.941GiB,10.12%,208kB / 358kB,148MB / 49.2kB,51
4.28%,195.7MiB / 1.941GiB,9.85%,210kB / 362kB,151MB / 49.2kB,51
0.69%,195.3MiB / 1.941GiB,9.83%,211kB / 363kB,152MB / 49.2kB,51
0.67%,195.4MiB / 1.941GiB,9.83%,211kB / 365kB,152MB / 49.2kB,51
0.57%,195.2MiB / 1.941GiB,9.82%,211kB / 365kB,152MB / 49.2kB,51
3.02%,195.6MiB / 1.941GiB,9.84%,213kB / 369kB,154MB / 49.2kB,51
0.80%,195.4MiB / 1.941GiB,9.83%,213kB / 369kB,154MB / 49.2kB,51
0.84%,194.9MiB / 1.941GiB,9.81%,215kB / 372kB,154MB / 49.2kB,51
5.26%,195.4MiB / 1.941GiB,9.83%,217kB / 377kB,157MB / 49.2kB,51
1.69%,195.4MiB / 1.941GiB,9.84%,220kB / 382kB,157MB / 49.2kB,51
0.54%,195.1MiB / 1.941GiB,9.82%,220kB / 382kB,157MB / 49.2kB,51
0.71%,195.2MiB / 1.941GiB,9.82%,222kB / 386kB,158MB / 49.2kB,51
0.45%,195.1MiB / 1.941GiB,9.82%,222kB / 386kB,158MB / 49.2kB,51
2.68%,195.2MiB / 1.941GiB,9.83%,223kB / 387kB,159MB / 49.2kB,51
0.49%,194.9MiB / 1.941GiB,9.81%,223kB / 387kB,159MB / 49.2kB,51
1.12%,194.7MiB / 1.941GiB,9.80%,224kB / 389kB,160MB / 49.2kB,51
3.77%,195.5MiB / 1.941GiB,9.84%,229kB / 400kB,174MB / 49.2kB,51
0.64%,194.8MiB / 1.941GiB,9.80%,229kB / 400kB,174MB / 49.2kB,51
0.99%,194.8MiB / 1.941GiB,9.80%,231kB / 403kB,177MB / 49.2kB,51
4.92%,195MiB / 1.941GiB,9.81%,232kB / 406kB,179MB / 49.2kB,51
0.79%,194.6MiB / 1.941GiB,9.79%,233kB / 406kB,180MB / 49.2kB,51
0.49%,194.5MiB / 1.941GiB,9.79%,233kB / 406kB,180MB / 49.2kB,51
0.74%,194.7MiB / 1.941GiB,9.80%,234kB / 410kB,182MB / 49.2kB,51
0.49%,194.3MiB / 1.941GiB,9.78%,235kB / 410kB,182MB / 49.2kB,51
0.79%,195.2MiB / 1.941GiB,9.82%,238kB / 417kB,187MB / 49.2kB,51
5.54%,195MiB / 1.941GiB,9.81%,240kB / 420kB,189MB / 49.2kB,51
0.54%,194.7MiB / 1.941GiB,9.80%,240kB / 420kB,189MB / 49.2kB,51
3.42%,199MiB / 1.941GiB,10.02%,241kB / 424kB,194MB / 49.2kB,51
0.67%,195.1MiB / 1.941GiB,9.82%,242kB / 424kB,195MB / 49.2kB,51
0.49%,194.7MiB / 1.941GiB,9.80%,242kB / 424kB,195MB / 49.2kB,51
0.57%,194.6MiB / 1.941GiB,9.79%,242kB / 426kB,196MB / 49.2kB,51
4.84%,196.8MiB / 1.941GiB,9.90%,244kB / 430kB,199MB / 49.2kB,51
13.79%,196.1MiB / 1.941GiB,9.87%,247kB / 434kB,201MB / 49.2kB,51
0.68%,195.5MiB / 1.941GiB,9.84%,248kB / 437kB,202MB / 49.2kB,51
6.01%,196.9MiB / 1.941GiB,9.91%,252kB / 444kB,208MB / 49.2kB,51
0.57%,195.6MiB / 1.941GiB,9.84%,253kB / 446kB,209MB / 49.2kB,51
1.28%,195.8MiB / 1.941GiB,9.85%,254kB / 448kB,210MB / 49.2kB,51
0.88%,195.5MiB / 1.941GiB,9.84%,256kB / 451kB,217MB / 49.2kB,51
0.53%,195.1MiB / 1.941GiB,9.82%,256kB / 451kB,217MB / 49.2kB,51
2.19%,195.6MiB / 1.941GiB,9.84%,257kB / 454kB,224MB / 49.2kB,51
1.12%,195.5MiB / 1.941GiB,9.84%,258kB / 455kB,225MB / 49.2kB,51
1.04%,195.3MiB / 1.941GiB,9.83%,260kB / 460kB,226MB / 49.2kB,51
1.90%,196MiB / 1.941GiB,9.86%,261kB / 462kB,229MB / 49.2kB,51
2.33%,196MiB / 1.941GiB,9.86%,263kB / 465kB,231MB / 49.2kB,51
0.85%,195.7MiB / 1.941GiB,9.85%,263kB / 465kB,233MB / 49.2kB,51
0.54%,195.4MiB / 1.941GiB,9.83%,263kB / 465kB,233MB / 49.2kB,51
1.84%,196.3MiB / 1.941GiB,9.88%,265kB / 466kB,234MB / 49.2kB,51
5.42%,197.1MiB / 1.941GiB,9.92%,269kB / 478kB,241MB / 49.2kB,51
1.87%,195.5MiB / 1.941GiB,9.84%,272kB / 482kB,242MB / 49.2kB,51
0.63%,195.7MiB / 1.941GiB,9.85%,272kB / 482kB,243MB / 49.2kB,51
0.48%,195.3MiB / 1.941GiB,9.83%,272kB / 482kB,243MB / 49.2kB,51
0.83%,198.4MiB / 1.941GiB,9.99%,273kB / 485kB,256MB / 49.2kB,51
0.54%,196.7MiB / 1.941GiB,9.90%,273kB / 485kB,257MB / 49.2kB,51
0.56%,195.6MiB / 1.941GiB,9.84%,273kB / 485kB,257MB / 49.2kB,51
0.52%,195.4MiB / 1.941GiB,9.83%,273kB / 485kB,257MB / 49.2kB,51
0.71%,195.5MiB / 1.941GiB,9.84%,273kB / 485kB,258MB / 49.2kB,51
3.75%,195.9MiB / 1.941GiB,9.86%,277kB / 492kB,265MB / 49.2kB,51
45.15%,217.5MiB / 1.941GiB,10.94%,279kB / 496kB,822MB / 49.2kB,51
1.34%,222.7MiB / 1.941GiB,11.21%,281kB / 501kB,823MB / 49.2kB,51
0.72%,199.3MiB / 1.941GiB,10.03%,283kB / 501kB,823MB / 49.2kB,51
0.49%,199.4MiB / 1.941GiB,10.03%,286kB / 504kB,823MB / 49.2kB,51
0.40%,199.5MiB / 1.941GiB,10.04%,287kB / 506kB,823MB / 49.2kB,51
2.29%,188.6MiB / 1.941GiB,9.49%,291kB / 513kB,823MB / 49.2kB,51
0.34%,189.7MiB / 1.941GiB,9.55%,291kB / 513kB,823MB / 49.2kB,51
0.33%,190.5MiB / 1.941GiB,9.59%,291kB / 513kB,823MB / 49.2kB,51
1.54%,191.5MiB / 1.941GiB,9.64%,293kB / 518kB,823MB / 49.2kB,51
18.01%,191.8MiB / 1.941GiB,9.65%,296kB / 524kB,823MB / 49.2kB,51
0.35%,191.5MiB / 1.941GiB,9.64%,296kB / 524kB,823MB / 49.2kB,51
0.66%,191.3MiB / 1.941GiB,9.63%,296kB / 524kB,823MB / 49.2kB,51
2.03%,191.3MiB / 1.941GiB,9.63%,298kB / 527kB,823MB / 49.2kB,51
1.66%,191.3MiB / 1.941GiB,9.63%,299kB / 529kB,823MB / 49.2kB,51
1.01%,191.4MiB / 1.941GiB,9.63%,301kB / 532kB,823MB / 49.2kB,51
4.68%,191.6MiB / 1.941GiB,9.64%,302kB / 536kB,823MB / 49.2kB,51
0.69%,191.5MiB / 1.941GiB,9.64%,303kB / 537kB,823MB / 49.2kB,51
0.82%,191.6MiB / 1.941GiB,9.64%,305kB / 541kB,823MB / 49.2kB,51
0.45%,191.6MiB / 1.941GiB,9.64%,305kB / 541kB,823MB / 49.2kB,51
0.65%,191.6MiB / 1.941GiB,9.64%,305kB / 541kB,823MB / 49.2kB,51
0.44%,191.6MiB / 1.941GiB,9.64%,305kB / 541kB,823MB / 49.2kB,51
1.28%,191.6MiB / 1.941GiB,9.64%,306kB / 542kB,823MB / 49.2kB,51
3.44%,191.7MiB / 1.941GiB,9.64%,309kB / 548kB,823MB / 49.2kB,51
0.46%,191.7MiB / 1.941GiB,9.64%,309kB / 548kB,823MB / 49.2kB,51
0.84%,191.6MiB / 1.941GiB,9.64%,312kB / 554kB,823MB / 49.2kB,51
0.53%,191.6MiB / 1.941GiB,9.64%,312kB / 554kB,823MB / 49.2kB,51
0.58%,191.7MiB / 1.941GiB,9.65%,314kB / 558kB,823MB / 49.2kB,51
0.83%,191.4MiB / 1.941GiB,9.63%,314kB / 558kB,824MB / 49.2kB,51
4.98%,191.5MiB / 1.941GiB,9.63%,316kB / 563kB,824MB / 49.2kB,51
1.11%,191.5MiB / 1.941GiB,9.63%,317kB / 565kB,824MB / 49.2kB,51
1.83%,191.4MiB / 1.941GiB,9.63%,319kB / 568kB,824MB / 49.2kB,51
2.11%,191.4MiB / 1.941GiB,9.63%,321kB / 571kB,824MB / 49.2kB,51
3.98%,191.4MiB / 1.941GiB,9.63%,324kB / 578kB,824MB / 49.2kB,51
0.48%,191.6MiB / 1.941GiB,9.64%,324kB / 578kB,824MB / 49.2kB,51
2.74%,191.6MiB / 1.941GiB,9.64%,326kB / 582kB,824MB / 49.2kB,51
1.36%,191.5MiB / 1.941GiB,9.64%,327kB / 583kB,824MB / 49.2kB,51
0.82%,191.5MiB / 1.941GiB,9.64%,327kB / 583kB,824MB / 49.2kB,51
1.21%,191.1MiB / 1.941GiB,9.62%,327kB / 585kB,824MB / 49.2kB,51
2.32%,191.2MiB / 1.941GiB,9.62%,330kB / 589kB,824MB / 49.2kB,51
11.24%,191.4MiB / 1.941GiB,9.63%,333kB / 595kB,824MB / 49.2kB,51
0.45%,191.4MiB / 1.941GiB,9.63%,335kB / 599kB,824MB / 49.2kB,51
4.04%,191.5MiB / 1.941GiB,9.63%,336kB / 601kB,824MB / 49.2kB,51
0.72%,191.5MiB / 1.941GiB,9.63%,337kB / 603kB,824MB / 49.2kB,51
0.56%,191.5MiB / 1.941GiB,9.63%,337kB / 603kB,824MB / 49.2kB,51
1.98%,191.5MiB / 1.941GiB,9.63%,339kB / 606kB,824MB / 49.2kB,51
1.49%,191.5MiB / 1.941GiB,9.63%,339kB / 608kB,824MB / 49.2kB,51
0.76%,191.5MiB / 1.941GiB,9.63%,339kB / 608kB,824MB / 49.2kB,51
3.53%,191.5MiB / 1.941GiB,9.64%,345kB / 619kB,824MB / 49.2kB,51
0.82%,191.2MiB / 1.941GiB,9.62%,347kB / 623kB,824MB / 49.2kB,51
1.81%,191.3MiB / 1.941GiB,9.63%,348kB / 625kB,824MB / 49.2kB,51
0.48%,191.3MiB / 1.941GiB,9.63%,348kB / 625kB,824MB / 49.2kB,51
0.56%,191.3MiB / 1.941GiB,9.63%,348kB / 625kB,824MB / 49.2kB,51
0.48%,191.3MiB / 1.941GiB,9.63%,348kB / 625kB,824MB / 49.2kB,51
0.99%,191.4MiB / 1.941GiB,9.63%,349kB / 626kB,824MB / 49.2kB,51
0.46%,191.4MiB / 1.941GiB,9.63%,349kB / 626kB,824MB / 49.2kB,51
3.58%,191.4MiB / 1.941GiB,9.63%,352kB / 633kB,824MB / 49.2kB,51
0.72%,191.4MiB / 1.941GiB,9.63%,356kB / 641kB,824MB / 49.2kB,51
0.48%,191.4MiB / 1.941GiB,9.63%,356kB / 641kB,824MB / 49.2kB,51
0.45%,191.5MiB / 1.941GiB,9.64%,356kB / 641kB,824MB / 49.2kB,51
