CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0.32%,257.8MiB / 1.941GiB,12.97%,1.22MB / 6.21MB,402MB / 28.7kB,45
10.32%,257.9MiB / 1.941GiB,12.98%,1.22MB / 6.33MB,403MB / 28.7kB,45
0.80%,258MiB / 1.941GiB,12.98%,1.23MB / 6.46MB,403MB / 28.7kB,45
6.47%,257.9MiB / 1.941GiB,12.98%,1.24MB / 6.46MB,403MB / 28.7kB,45
1.58%,257.7MiB / 1.941GiB,12.97%,1.24MB / 6.47MB,403MB / 28.7kB,45
1.30%,257.8MiB / 1.941GiB,12.97%,1.25MB / 6.48MB,403MB / 28.7kB,45
4.13%,257.8MiB / 1.941GiB,12.97%,1.26MB / 6.85MB,403MB / 28.7kB,45
4.14%,257.9MiB / 1.941GiB,12.98%,1.27MB / 6.86MB,403MB / 28.7kB,45
2.35%,257.9MiB / 1.941GiB,12.98%,1.28MB / 6.86MB,403MB / 28.7kB,45
2.31%,257.9MiB / 1.941GiB,12.98%,1.29MB / 6.87MB,403MB / 28.7kB,45
2.69%,257.9MiB / 1.941GiB,12.98%,1.29MB / 6.88MB,403MB / 28.7kB,45
12.96%,258MiB / 1.941GiB,12.98%,1.3MB / 7.01MB,403MB / 28.7kB,45
1.41%,258MiB / 1.941GiB,12.98%,1.31MB / 7.01MB,403MB / 28.7kB,45
3.82%,258MiB / 1.941GiB,12.98%,1.32MB / 7.15MB,403MB / 28.7kB,45
7.60%,258MiB / 1.941GiB,12.98%,1.33MB / 7.29MB,403MB / 28.7kB,45
7.34%,258.1MiB / 1.941GiB,12.99%,1.34MB / 7.3MB,403MB / 28.7kB,45
0.78%,258.1MiB / 1.941GiB,12.99%,1.34MB / 7.3MB,403MB / 28.7kB,45
1.17%,258.1MiB / 1.941GiB,12.99%,1.35MB / 7.31MB,403MB / 28.7kB,45
2.70%,258.1MiB / 1.941GiB,12.99%,1.36MB / 7.45MB,403MB / 28.7kB,45
44.48%,259.9MiB / 1.941GiB,13.08%,1.37MB / 7.59MB,403MB / 28.7kB,45
2.27%,260MiB / 1.941GiB,13.08%,1.37MB / 7.59MB,403MB / 28.7kB,45
3.32%,260MiB / 1.941GiB,13.08%,1.39MB / 7.74MB,403MB / 28.7kB,45
0.87%,260MiB / 1.941GiB,13.08%,1.39MB / 7.74MB,403MB / 28.7kB,45
19.46%,260MiB / 1.941GiB,13.08%,1.4MB / 7.75MB,403MB / 28.7kB,45
2.53%,260.1MiB / 1.941GiB,13.09%,1.41MB / 7.89MB,403MB / 28.7kB,45
4.93%,260.1MiB / 1.941GiB,13.09%,1.42MB / 8.18MB,403MB / 28.7kB,45
4.18%,260.2MiB / 1.941GiB,13.09%,1.43MB / 8.19MB,403MB / 28.7kB,45
4.05%,260.2MiB / 1.941GiB,13.09%,1.44MB / 8.33MB,403MB / 28.7kB,45
7.43%,260.1MiB / 1.941GiB,13.09%,1.45MB / 8.62MB,403MB / 28.7kB,45
1.09%,260.1MiB / 1.941GiB,13.09%,1.45MB / 8.63MB,403MB / 28.7kB,45
4.23%,259.6MiB / 1.941GiB,13.07%,1.46MB / 8.63MB,403MB / 28.7kB,45
1.04%,259.7MiB / 1.941GiB,13.07%,1.47MB / 8.64MB,403MB / 28.7kB,45
4.75%,259.7MiB / 1.941GiB,13.07%,1.48MB / 8.79MB,403MB / 28.7kB,45
58.54%,259.7MiB / 1.941GiB,13.07%,1.48MB / 8.8MB,403MB / 28.7kB,45
4.78%,260.7MiB / 1.941GiB,13.12%,1.5MB / 9.1MB,403MB / 28.7kB,45
5.12%,260.7MiB / 1.941GiB,13.12%,1.51MB / 9.11MB,403MB / 28.7kB,45
0.81%,260.7MiB / 1.941GiB,13.12%,1.51MB / 9.11MB,403MB / 28.7kB,45
1.70%,260.7MiB / 1.941GiB,13.12%,1.51MB / 9.12MB,403MB / 28.7kB,45
